id,x,y,z,status
1,-0.25872394,-0.17347965,9.754043,No ansiedad
2,-0.2548356,-0.17437695,9.755538,No ansiedad
3,-0.25633112,-0.17617157,9.751948,No ansiedad
4,-0.25244278,-0.17407785,9.752248,No ansiedad
5,-0.2536392,-0.17587246,9.75165,No ansiedad
6,-0.253041,-0.17407785,9.761819,No ansiedad
7,-0.4956134,6.827321,6.8916283,No ansiedad
8,-0.40707895,6.8024955,7.000801,No ansiedad
9,-0.42652065,6.780661,7.001399,No ansiedad
10,-0.40438703,6.7764735,7.029515,No ansiedad
11,-0.38554356,6.7764735,7.0259256,No ansiedad
12,-0.37627137,6.7704916,6.999604,No ansiedad
13,-0.31764722,6.735796,7.042077,No ansiedad
14,5.1220503,7.3159504,-3.2899501,Ansiedad
15,5.3430004,7.4220004,-3.35295,Ansiedad
16,5.13,7.3710003,-3.5490003,Ansiedad
17,5.2450504,7.3570504,-3.6499503,Ansiedad
18,5.2060504,7.347,-3.4360502,Ansiedad
19,5.4,7.3740005,-3.4080002,Ansiedad
20,5.4960003,7.3450503,-3.384,Ansiedad
21,5.26905,7.2900004,-3.6760502,Ansiedad
22,5.5129504,7.314,-3.45795,Ansiedad
23,5.3479505,7.35195,-3.35295,Ansiedad
24,5.2210503,7.28805,-3.58695,Ansiedad
25,5.103,7.4460006,-3.5749502,Ansiedad
26,5.18505,7.3570504,-3.4789503,Ansiedad
27,5.21295,7.3879504,-3.348,Ansiedad
28,5.19705,7.3690505,-3.5130002,Ansiedad
29,5.3910003,7.2949505,-3.3600001,Ansiedad
30,4.9690504,7.3669505,-3.48705,Ansiedad
31,5.31405,7.2520504,-3.38595,Ansiedad
32,5.0790005,7.3669505,-3.5299501,Ansiedad
33,4.95195,7.3450503,-3.4080002,Ansiedad
34,5.1319504,7.347,-3.357,Ansiedad
35,5.328,7.4550004,-2.9880002,Ansiedad
36,5.163,7.3830004,-3.42405,Ansiedad
37,5.37195,7.26105,-3.3960001,Ansiedad
38,5.3980503,7.359,-3.4390502,Ansiedad
39,5.175,7.45305,-3.3930001,Ansiedad
40,5.2060504,7.3429503,-3.3450003,Ansiedad
41,5.3760004,7.326,-3.4030502,Ansiedad
42,4.9879503,7.4550004,-3.4480503,Ansiedad
